english,portuguese
immediately,"[immediately] imediatamente, assim que, logo que"
import,"[import] importam, importo, importamos, importa, importais, importar, importas, importação, importância, significado"
importance,[importance] importância
important,"[important] importante, importantes"
impossible,"[impossible] impossível, impossíveis"
improve,"[improve] melhorar, melhoramos, melhoro, melhora, melhoram, melhorarei, melhorarem, melhoraremos, melhorará"
in,"[in] em, no, na, a, com, da, de, dentro, dentro de, do, durante, entrar, há, interno, na moda, naquelas, naquele, nas, nela, nele, nessa, nessas, nesse, nesta, nestas, neste, nestes, nos, para, por, remexer, revistar, à"
in love,"[in love] apaixonadas, apaixonada, apaixonado"
in the corner,[in the corner]
include,"[include] incluem, inclui, envia junto em anexo, enviam junto em anexo, enviamos junto em anexo, enviar junto em anexo, inclua, incluir, incluímos"
includes,"[includes] inclui, envia junto em anexo, enviar junto em anexo, incluir"
including,"[including] incluindo, enviando junto em anexo, inclusive"
increase,"[increase] aumentar, aumento, aumenta, aumentam, aumentamos, aumentarmos, aumentará, aumentarão"
independent,"[independent] independente, independentes"
india,[india] índia
individual,"[individual] indivíduo, individual"
individuals,"[individuals] indivíduos, sujeitos"
indoor,"[indoor] coberto, coberta"
industry,"[industry] indústria, aplicação, diligência, zelo"
information,"[information] informação, informações"
informations,"[informations] informação, informações"
informed,"[informed] informou, informado, informamos, informar, informaram, informava, informavam, informei, informávamos"
inside,"[inside] dentro, interior, do lado de dentro, lá dentro, no lado de dentro"
instance,"[instance] exemplo, instância, caso"
instead,"[instead] em vez disso, como opção, em vez de, ao invés, como alternativa, no lugar de, em lugar disso"
institute,"[institute] instituto, instituem, institui, instituir, instituiria, instituo, instituímos, intenta, intentam, intentamos, intentar, intentaria, intento, ordena, ordenam, ordenamos, ordenar, ordeno"
instrument,[instrument] instrumento
instruments,"[instruments] instrumentos, instrumento"
insurance,[insurance] seguro
intelligent,[intelligent] inteligente
interest,"[interest] interesse, juro, interessa, juros, título"
interested,"[interested] interessado, interessar-se, interessada, interessadas, interessados, interessou, me interessei, me interesso"
interesting,"[interesting] interessante, interessantes"
interests,"[interests] interesses, interessa, interesse, juro, juros, título, títulos"
international,"[international] internacional, internacionais"
internet,[internet] internet
internets,[internets]
interview,"[interview] entrevista, entrevistam, entrevistar, entrevistei, entrevisto, entrevistou"
into,"[into] em, dentro, entro, gostar de algo, interessa-se por, interessada, interessado, interesso-me por, me interesso por, na, nas, no, nos, para, para dentro, para dentro da, para dentro das, para dentro de, para dentro do, para dentro dos, se interessa por"
introduce,"[introduce] apresentar, apresentá, introduzo, apresenta, apresentada, apresentam, apresentamos, apresentarei, apresentarão, apresentaríamos, apresente, apresentem, apresento, inicia, iniciam, iniciamos, iniciar, iniciarei, iniciarão, inicio, introduz, introduzem, introduzimos, introduzir, introduzirei, introduzirão, introduziríamos"
introduced,"[introduced] apresentou, apresentado, apresentados, apresentamos, apresentaram, apresentaria, apresentava, apresentavam, apresentei, apresentávamos"
introduction,"[introduction] introdução, apresentação (entre pessoas), apresentação"
investigation,[investigation] investigação
investment,[investment] investimento
investments,[investments] investimentos
invited,"[invited] provocou, convidados, pedido, convidada, convidado, provocava, pedi, provocavam, provocar, convidamos, pedia, provocaram, convidar, pediu, convidei, pedir, convidava, convidou, pediram, pediam, convidaram, convidadas, provoquei, provocado, convidavam"
ireland,[ireland] Irlanda
is,"[is] é, está, fica, custa, esteja, estejam, estiver, estiverem, estivesse, estão, ficar, for, seja, são, tem, vai, é que"
is it,"[is it] é, ele é, vai, ele está"
island,[island] ilha
islands,[islands] ilhas
isn't,"[isn't] não é, não estiver, não seja, não está, não"
isn't he,[isn't he]
isn't it,[isn't it]
isn't there,[isn't there]
issue,"[issue] questão, problema, assunto, baixa, baixo, dar, daria, dariam, distribuem, distribui, distribuir, distribuiria, distribuiriam, dá, dão, edição, emissão, emite, emitem, emitir, emitiria, emitiriam, número, resultado"
it,"[it] isso, a, o, -a, -la, -lo, -na, -no, -o, ao, aos, dela, dele, disso, disto, ela, elas, ele, este, isto, la, lo, los, nela, nisso, nisto"
it'll,"[it'll] ela, estará, isto"
it's,"[it's] é, ela, ele, esteja, estiver, está, faz, fica, ficar, for, isso, isso é, isto é, seja, sou, são, tem, é uma"
italian,"[italian] da Itália, italiana, italianas, italiano, italianos"
italians,"[italians] italianos, italianos/italianas, da Itália, italiano/italiana"
italy,"[italy] Itália, a Itália"
its,"[its] seu, sua, dele, a, aquilo, as, dela, eles, isto, o, os, seus, suas"
itself,"[itself] mesmo, si própria, a si mesma, a si mesmo, ela mesma, ela própria, ele mesmo, ele próprio, ele próprio/ela própria, em si, mesma, se, si mesma, si próprio"
jacket,"[jacket] jaqueta, agasalho, casaco"
january,[january] janeiro
japan,[japan] Japão
japanese,"[japanese] japonês, japonesa"
jazz,[jazz] jazz
jewelry,"[jewelry] joias, jewelry, jóias"
job,"[job] emprego, trabalho, tarefa"
jobs,"[jobs] empregos, emprego, profissões, serviços, trabalho, trabalhos"
journalist,[journalist] jornalista
journalists,"[journalists] jornalistas, jornalista"
journey,"[journey] viagem, jornada, caminho, trajecto, trajeto, viagens, viajam, viajar"
joy,"[joy] alegria, gosto"
judge,"[judge] juiz, julga, julgue, julgam, julgamos, julgar, julgará, julgo, julguem, julgues"
judges,"[judges] juízes, julga, juiz, juizes, julgar, juízas"
juice,"[juice] suco, sumo"
july,[july] julho
jump,"[jump] salto, pulamos, pula, pulam, pular, pulará, pulo, pulou, salta, saltam, saltamos, saltar, saltou"
jumps,"[jumps] saltos, sobressaltar(-se), altas, pula, salta, saltar, sobressaltos, sobe repentinamente, subir repentinamente"
june,[june] junho
just,"[just] só, acabou de, apenas, acaba, acabado, acabamos, acabar, acabaram, acabaram de, acabei, acabei de, exactamente, exatamente, justamente, justo, logo, precisamente, recém, somente"
just a moment,[just a moment]
keep,"[keep] manter, manter-se, manteria, conservar, conservar-se, continuam, continuar, continuarmos, continue, cria, criam, criaram, criarei, criaria, criarão, crio, criou, cumpre, cumprem, cumpri, cumprimos, cumprir, cumpriram, cumprirei, cumpriremos, cumpriria, cumprirá, cumprirão, cumpriríamos, cumpriu, cumpro, demora, demoram, demoramos, demorar, demoraram, demorarei, demoraremos, demoraria, demorará, demorarão, demoraríamos, demoro, demorou, esconde, escondem, escondemos, esconder, esconderam, esconderei, esconderemos, esconderia, esconderá, esconderão, esconderíamos, escondeu, escondo, festeja, festejam, festejamos, festejar, festejaram, festejarei, festejaremos, festejaria, festejará, festejarão, festejaríamos, festejo, festejou, fica, ficam, ficamos, ficar, ficar com, ficaram, ficarei, ficaremos, ficaria, ficará, ficarão, ficaríamos, ficas, fico, ficou, fique, guarda, guardam, guardamos, guardar, guardaram, guardarei, guardaria, guardarão, guarde, guardo, guardou, impede, impedem, impedimos, impedir, impediram, impedirei, impediremos, impediria, impedirá, impedirão, impediríamos, impediu, impeço, mantiveram, mantém, permanecer, sustenta, sustentam, sustentamos, sustentar, sustentaram, sustentarei, sustentaremos, sustentaria, sustentará, sustentarão, sustentaríamos, sustentou, tem, temos, tenha, tenho, ter, terei, teremos, teria, terá, terão, teríamos, teve, tiveram, torre de menagem, têm"
kept,"[kept] mantinha, guardou, ficou, continuaram, continuei, continuou, criamos, criar, criaram, criaria, criará, criaríamos, criava, criavam, criei, criou, criávamos, cumpri, cumpria, cumpriam, cumprido, cumprimos, cumprir, cumpriram, cumpriria, cumprirá, cumpriríamos, cumpriu, cumpríamos, demorado, demorar, demoraram, demoraria, demorará, demoraríamos, demorava, demorei, demorou, demorávamos, escondemos, esconder, esconderia, esconderá, esconderíamos, escondeu, escondi, escondia, escondiam, escondido, escondíamos, festejaram, festejaria, festejavam, ficado, ficamos, ficar, ficaram, ficaria, ficará, ficaríamos, ficava, ficavam, ficávamos, fiquei, guarda, guardado, guardados, guardamos, guardar, guardaram, guardaria, guardará, guardaríamos, guardava, guardavam, guardei, guardávamos, impedi, impedia, impediam, impedido, impedimos, impedir, impediram, impediria, impedirá, impediríamos, impediu, impedíamos, manter-se, manteve, mantido, mantinham, mantiveram, preservado, sustentado, sustentar, sustentaram, sustentaria, sustentará, sustentaríamos, sustentava, sustentavam, sustentei, sustento, sustentou, sustentávamos, tem guardado, ter, teria, terá, teríamos, teve, tido, tinha, tinham, tive, tivemos, tiveram, tínhamos"
key,"[key] chave, clave, digitar, tecla"
keys,"[keys] chaves, claves, teclas"
kick,"[kick] chuto, chutam, chuta, chutar, chutas, chute, chutem, chutou, coice, em, escoicear, pontapé"
kilometers,[kilometers] quilômetros
kind,"[kind] tipo, amáveis, amável, bom, gentil"
king,[king] rei
kings,[kings] reis
kitchen,[kitchen] cozinha
knew,"[knew] soubesse, sabia, soube, conhecemos, conhecer, conheceram, conheceria, conheceriam, conhecesse, conhecessem, conheceu, conheci, conhecia, conheciam, conhecíamos, saber, saberia, saberiam, sabiam, sabíamos, soubemos, souberam"
knife,"[knife] faca, a faca, apunhala, apunhalam, apunhalamos, apunhalar, apunhalo, esfaqueamos, esfaquear, esfaqueia, esfaqueiam, esfaqueio"
knives,"[knives] apunhalar, esfaquear, facas"
know,"[know] sei, sabe, saber, conhece, conhecem, conhecemos, conhecer, conheceram, conhecesse, conhecessem, conheceu, conheci, conhecê, conheça, conheçam, conheçamos, conheças, conheço, sabem, sabemos, saberia, saberão, sabia, saiba, saibam, saibamos, saibas, soube, souber, souberem, soubesse"
knowledge,"[knowledge] conhecimento, saber"
knows,"[knows] sabe, conhece, saiba, conhecem, conhecer, conheça, sabem, saber"
laboratory,[laboratory] laboratório
lack,"[lack] falta, falta (a), não ter, faltam (a), faltamos (a), faltar (a)"
lady,"[lady] senhora, dama, mulher"
lamp,"[lamp] lâmpada, lampião, lamparina, luminária"
land,"[land] terra, de terra, terreno, agrário, aplica, aplicam, aplicar, aplico, arranja, arranjam, arranjar, arranjo, aterra, aterram, aterrar, aterrissamos, aterrissar, aterrissemos, aterro, desembarca, desembarcam, desembarcamos, desembarcar, desembarco, ir parar, manda, mandam, mandar, mando, país, pousamos, pousar, pousemos, terras, terrestre, vai parar, vou parar, vão parar"
landscape,"[landscape] paisagem, projecta paisagisticamente, projectam paisagisticamente, projectar paisagisticamente, projecto paisagisticamente, projetar"
language,"[language] língua, idioma, linguagem, de línguas"
languages,"[languages] idiomas, línguas, linguagem"
large,"[large] grande, grandes, amplo, amplos"
last,"[last] passado, último, última, continua, continuam, continuamos, continuar, continuaram, continuaria, continuariam, continuará, continuarão, continuaríamos, continuei, continuo, continuou, dura, duram, durar, duraram, duraria, durariam, durarão, durei, durou, passada, têm duração, últimas, últimos"
late,"[late] tarde, mais tarde, atrasado, anterior, antigo, atrasada, atrasados, atrasarem, até tarde, depois, ex-, falecido, posterior, recente, se atrasar, tardio"
later,"[later] depois, tarde, mais tarde, anterior, antigo, atrasado, ex-, falecido, posterior, recente, tardio"
latest,"[latest] mais tarde, últimas, ex-, recente, mais recentes, últimos, antigo, falecido, os últimos, tardio, as últimas, último, última, depois, anterior"
law,"[law] lei, direito, leis"
laws,"[laws] leis, direitos"
lawyer,"[lawyer] advogado, advogada, advogadas"
leader,"[leader] líder, dirigente, chefe, editorial, maestro, regente"
leaders,"[leaders] líderes, chefes, dirigentes, editoriais, maestros, regentes"
leaf,"[leaf] folha, aba"
learn,"[learn] aprender, aprendemos, aprendem, aprenda, aprende, aprenderam, aprenderei, aprenderia, aprenderão, aprendeu, aprendo"
learned,"[learned] aprendemos, aprendi, aprendeu, aprender, aprenderam, aprendesse, aprendia, aprendiam, aprendido, aprendíamos, erudito, ouvi dizer, ouvia dizer, ouviam dizer, ouvido dizer, ouvimos dizer, ouvir dizer, ouviram dizer, ouviu dizer, ouvíamos dizer, veio a saber, viemos a saber, vieram a saber, vim a saber, vinha a saber, vinham a saber, vir a saber, vínhamos a saber"
learning,"[learning] aprendendo, aprender, aprendido, erudição, ouvindo dizer, saber, vindo a saber"
least,"[least] o menos, a menor, a menos, curta, curto, mal, nem, o menor, o mínino, pouca, pouco"
leave,"[leave] deixar, embora, deixe, abandonar, deixa, deixam, deixamos, deixaram, deixarei, deixarem, deixaremos, deixaria, deixariam, deixarmos, deixará, deixarão, deixaríamos, deixasse, deixei, deixem, deixo, deixou, foi embora, fosse, ir, ir-se de, irmos embora, licença, parte, parte de, partem, partir, partir de, partirá, permissão, saem, sai, saia, sair, sair da, sair de, sairmos, sairá de, saiu, saíram, vá"
leaves,"[leaves] deixa, folhas, abas, ir-se de, irem embora, parte, parte de, sai, sai de, saia, sair, vá embora"
leaving,"[leaving] deixando, deixar, embora, ir embora, ir-se, partindo, partir, saindo, sair"
lecture,"[lecture] palestra, darei uma conferência, dá uma conferência, aula teórica, conferência, dar aula(s), dar uma conferência, darei aula(s), dará aula(s), dará uma conferência, darão aula(s), darão uma conferência, dá aula(s), dão aula(s), dão uma conferência, palestras, sermão"
left,"[left] deixado, deixou, esquerda, de esquerda, deixadas, deixamos, deixar, deixaram, deixarei, deixaria, deixariam, deixará, deixarão, deixaríamos, deixasse, deixava, deixavam, deixei, deixámos, deixávamos, esquerdo, foi, foi embora, fomos, fora, foram, fui, fui embora, licença, para a esquerda, partiam, partir, partirá, partiu, permissão, resta, restam, restar, restava, restavam, restou, sair, sairia, saiu, saí, saía, saíam, saído, saímos, saíram, à esquerda"
leg,"[leg] perna, etapa, pé"
legal,"[legal] legais, legal, autêntico, jurídico, legítimo, lícito, válido"
legs,"[legs] pernas, etapas, patas, pés"
lemon,[lemon] limão
length,"[length] comprimento, corte, durações, período"
lengths,"[lengths] durações, comprimento, comprimentos, corte, cortes, período, períodos"
less,"[less] menos, o menos, a menor, a menos, a última, curta, curto, mal, menor, nem, o menor, o mínino, o último, pequena, pouca, pouco"
let,"[let] vamos, deixam, deixe, alugamos, alugar, arrendar, deixa, deixado, deixamos, deixar, deixaram, deixarei, deixaremos, deixaria, deixariam, deixará, deixarão, deixasse, deixava, deixavam, deixei, deixem, deixo, deixou, deixá-la, deixávamos, permite, permitem, permiti, permitia, permitido, permitimos, permitir, permitiram, permitirei, permitiremos, permitiria, permitiriam, permitirá, permitirão, permitiu, permito, permitíamos"
let me know,[let me know] avise-me
let's,[let's]
let's go,"[let's go] vamos lá, vamos"
lets,"[lets] deixa, aluga, alugar, aluguel, alugueres, arrendar, deixar, permite, permitir"
